time,Muong Te,Sin Ho,Tam Duong,Than Uyen,Muong Lay(Lai Chau),Tuan Giao,Pha Din,Dien Bien,Phieng Lanh,Son La,Song Ma,Co Noi,Yen Chau,Bac Yen,Phu Yen,Moc Chau,Bac Ha,Sa Pa,Mu.C.Chai,Yen Bai,Van Chan,Luc Yen,Ha Giang,Hoang S Phi,Bac Me,Bac Quang,T.Quang,Ham Yen,Chiem Hoa,Cho Ra,Ngan Son,Bac Can,Thai Nguyen,Minh Dai,Phu Ho,Viet Tri,Vinh Yen,Tam Dao,Cao Bang,Bao Lac,Nguyen Binh,T. Khanh,That Khe,Lang Son,Mau Son,Bac Son,Huu Lung,Dinh Lap,Quang Ha,Tien Yen,Co To,Cua Ong,Bai Chay,Uong Bi,Hiep Hoa,Luc Ngan,Son Dong,Bac Giang,Phu Lien,Hon Dau,Bach. L.Vi,Ba Vi,Son Tay,Lang,Ha Dong,Chi Linh,Hai Duong,Hung Yen,Nam Dinh,Van Ly,Phu Ly,Nho Quan,Ninh Binh,Thai Binh,Hoi Xuan,Yen Dinh,Sam Son,Bai Thuong,Thanh Hoa,Nhu Xuan,Tinh Gia,Quy Chau,Tuong Duong(Cua Rao),Quy Hop,Tay Hieu,Con Cuong,Quynh Luu,Do Luong,Hon Ngu,Vinh,Huong Khe,Ky Anh,Dong Hoi,Ba Don,Con Co,Khe Sanh,Hue,A Luoi,Nam Dong,Da Nang,Tam Ky,Tra My,Ly Son,Q.Ngai,Hoai Nhon,Quy Nhon,Son Hoa,Tuy Hoa,Nha Trang,Cam Ranh,Truong Sa,Phan Rang,Phan Thiet,La Gi(Ham Tan),Phu Quy,Dak To,Kon Tum,Playcu,An Khe,Ayunpa(Cheo Reo),Buon Ho,M Drak,B.M. Thuot,Dak Nong,Da Lat,Lien Khuong,Bao Loc,Phuoc Long,Dong Phu,Tay Ninh,Tri An,Bien Hoa,Vung Tau,Con Dao,Moc Hoa,My Tho,Ba Tri,Cao Lanh,Cang Long,Chau Doc,Can Tho,Soc Trang,Rach Gia,Phu Quoc,Bac Lieu,Ca Mau
1980-1-1,0,0.0,0,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.1,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.2,0.0,0.5,0.0,0,0.0,0.0,0,0.0,0.5,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,1.1,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1980-1-2,0,0.0,0,0.0,0.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.1,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1980-1-3,0,0.0,0,0.0,0.0,0.1,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,0.0,0,0,0.2,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1980-1-4,0,0.0,0,0.0,0.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.1,0.0,0,0.0,0.8,0.0,0.0,0.0,0,0.0,0.0,0.6,0.0,0.2,0,0.0,0.0,0.0,0,0.0,0.2,0,0.0,0.0,0,0.0,0,0.1,0.0,0.0,0,0.2,0,0.0,0.6,0.3,0,0,0.0,3.5,0,0.1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,4.5,0.0,0.8,0.2,0.0,0,0.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.4
1980-1-5,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.1,0,0.8,0.0,0.0,0.8,0.0,0.1,3.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,6.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,1.8,0.0,0,0,0.0,0,0,0.9,0,0.0,0.30000000000000004,1.1,0.0,0.0,0.4,1.4,5.5,7.2,0.6000000000000001,4.4,0.0,0.8,0,7.7,0.3,2.0,1.7,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0,8.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0,0.0
1980-1-6,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.6,0,0.2,0.0,0.0,0.2,0.0,0,0.0,0,0.0,0.1,0.0,0.0,0,0.0,0.9,0.5,0.8,0.1,0.6,0.0,0,0.0,0,0.4,0.0,0.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,0,0.0,0.0,0,0.0,0.0,1.6,1.0,1.2,1.2,0.0,0.0,0.1,0.0,0,0.4,0.2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.3,0.4,0.0,3.6,1.2000000000000002,1.9000000000000001,0.0,3.0,0.30000000000000004,2.3000000000000003,0.0,0.0,0.1,0.4,5.4,0.4,0.4,0.2,0.0,1.5,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.3,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.9
1980-1-7,0,0.5,0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2,3.9,0,0.0,0.7,6.3,0.0,0.2,0,0.0,0,1.1,0.6,0.0,0.0,0,0.0,5.5,4.3,2.6,0,1,0.0,0,0.0,0,0.0,0.0,14.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.2,0.0,0,0.2,0.0,0.0,0,0.0,0.4,1.8,2.5,1.4,0,0,0.8,0,0,3.0,3.8000000000000003,1.3,1,1.7000000000000002,0.0,0,3.8,0.0,0.0,1.6,2.0,16.8,12.9,6.4,1.7000000000000002,2.5,5.6000000000000005,4.1000000000000005,16.2,4.9,4.7,15.0,0.3,17.9,11.1,17.8,2.1,3.0,6.4,12.0,1,0,0,0.0,0.0,0,0.0,0.0,0,1.6,0.0,0,2.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1980-1-8,0.7,4.0,1,2.3,2.9,1.0,1.4,1.2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.6,3.9,0.0,0.0,0.9,0.0,0.0,0,0.0,0,0.3,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0,5.4,0.3,3.4000000000000004,10.6,6.7,6.6,0.7,32.5,13.7,0.2,0.0,0.0,2.2,0.0,2.7,2,0,0,0.0,0.0,0,0.0,0.0,0,1.3,0.0,0,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.2,0.0,0.0,0,0.0
1980-1-9,0,0.1,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,2.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.9,0.3,6.9,0.0,0.4,9.6,0.0,3.4000000000000004,1.3,12.7,1.6,1.5,39.5,2.5,1.7,0.2,2.7,0.9,1.0,0.0,0,3.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1980-1-10,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.2,0.1,0.4,0.0,3.3,0.7,0.6,3.0,2.2,2.6,0.2,0.1,0.0,0,0.2,0,0.0,0.0,0.1,0.0,0.0,0,0.1,0.0,0,0.6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.1,0,0,0,0.0,0.0,0.2,0.0,0.0,0,0.0
