name,id,lon,lat
Muong Te,48/01,102.83333333333333,22.366666666666667
Sin Ho,48/02,103.23333333333333,22.366666666666667
Tam Duong,48/03,103.48333333333333,22.416666666666668
Than Uyen,48/06,103.88333333333334,21.95
Muong Lay(Lai Chau),48800,103.15,22.066666666666666
Tuan Giao,48/09,103.41666666666667,22.583333333333332
Pha Din,48/10,103.51666666666667,21.566666666666666
Dien Bien,48811.0,103.0,21.366666666666667
Phieng Lanh,48/07,103.56666666666666,21.85
Son La,48806,103.9,21.333333333333332
Song Ma,48/16,103.73333333333333,21.066666666666666
Co Noi,48/17,104.15,21.133333333333333
Yen Chau,48/18,104.3,21.05
Bac Yen,48/19,104.41666666666667,21.25
Phu Yen,48/20,104.63333333333334,21.266666666666666
Moc Chau,48/25,104.68333333333334,20.833333333333332
Bac Ha,48/30,104.28333333333333,22.533333333333335
Sa Pa,48802,103.81666666666666,22.35
Mu.C.Chai,48/08,104.05,21.866666666666667
Yen Bai,48805,104.86666666666666,21.7
Van Chan,48/14,104.51666666666667,21.583333333333332
Luc Yen,48/35,104.71666666666667,22.1
Ha Giang,48805,104.96666666666667,22.816666666666666
Hoang S Phi,48/31,104.68333333333334,22.75
Bac Me,48/32,105.36666666666666,22.733333333333334
Bac Quang,48/34,104.86666666666666,22.5
T.Quang,48812,105.21666666666667,21.816666666666666
Ham Yen,48/36,105.03333333333333,22.066666666666666
Chiem Hoa,48/37,105.26666666666667,22.15
Cho Ra,48/39,105.71666666666667,22.45
Ngan Son,48/42,105.98333333333333,22.433333333333334
Bac Can,48810,105.83333333333333,22.15
Thai Nguyen,48831,105.83333333333333,21.6
Minh Dai,48/23,105.05,21.166666666666668
Phu Ho,48/51,105.23333333333333,21.45
Viet Tri,48813,105.41666666666667,21.3
Vinh Yen,48814,105.6,21.316666666666666
Tam Dao,48/52,105.65,21.466666666666665
Cao Bang,48808.0,106.25,22.666666666666668
Bao Lac,48/33,105.66666666666667,22.95
Nguyen Binh,48/40,105.95,22.65
T. Khanh,48/43,106.51666666666667,22.833333333333332
That Khe,48807,106.46666666666667,22.25
Lang Son,48830.0,106.76666666666667,21.833333333333332
Mau Son,48/46,106.95,21.85
Bac Son,48/47,106.31666666666666,21.9
Huu Lung,48/48,106.35,21.5
Dinh Lap,48/49,107.1,21.533333333333335
Quang Ha,48/50,107.75,21.45
Tien Yen,48837,107.4,21.333333333333332
Co To,48834.0,107.76666666666667,20.983333333333334
Cua Ong,48836,107.35,21.016666666666666
Bai Chay,48833,107.06666666666666,20.966666666666665
Uong Bi,48/60,106.75,21.033333333333335
Hiep Hoa,48/53,105.96666666666667,21.35
Luc Ngan,48/55,106.55,21.383333333333333
Son Dong,48/56,106.85,21.333333333333332
Bac Giang,48809.0,106.21666666666667,21.3
Phu Lien,48826,106.63333333333334,20.8
Hon Dau,48828.0,106.8,20.666666666666668
Bach. L.Vi,48839,107.71666666666667,20.133333333333333
Ba Vi,48/57,105.41666666666667,21.15
Son Tay,48817,105.5,21.133333333333333
Lang,48820,105.8,21.016666666666666
Ha Dong,48825,105.75,20.966666666666665
Chi Linh,48/59,106.38333333333334,21.083333333333332
Hai Duong,48827,106.3,20.933333333333334
Hung Yen,48822,106.05,20.65
Nam Dinh,48823,106.15,20.4
Van Ly,48829,106.3,20.116666666666667
Phu Ly,48821,105.91666666666667,20.55
Nho Quan,48832,105.73333333333333,20.333333333333332
Ninh Binh,48824,105.96666666666667,20.233333333333334
Thai Binh,48835,106.35,20.45
Hoi Xuan,48842,105.11666666666666,20.366666666666667
Yen Dinh,48/67,105.66666666666667,19.983333333333334
Sam Son,48/68,105.9,19.75
Bai Thuong,48/69,105.38333333333334,19.9
Thanh Hoa,48840.0,105.78333333333333,19.75
Nhu Xuan,48/70,105.56666666666666,19.633333333333333
Tinh Gia,48/72,105.78333333333333,19.45
Quy Chau,48/74,105.11666666666666,19.566666666666666
Tuong Duong(Cua Rao),48844,104.43333333333334,19.283333333333335
Quy Hop,48/75,105.15,19.316666666666666
Tay Hieu,48/76,105.4,19.316666666666666
Con Cuong,48/79,104.88333333333334,19.05
Quynh Luu,48/77,105.63333333333334,19.166666666666668
Do Luong,48/80,105.3,18.9
Hon Ngu,48/81,105.76666666666667,18.8
Vinh,48845,105.7,18.666666666666668
Huong Khe,48/84,105.71666666666667,18.183333333333334
Ky Anh,48/86,106.28333333333333,18.083333333333332
Dong Hoi,48848.0,106.6,17.483333333333334
